Unnamed: 0,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
4929,poisonous,convex,scaly,yellow,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,buff,white,one,large,chocolate,solitary,grasses
1338,edible,convex,scaly,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
2950,edible,convex,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink,white,one,pendant,black,solitary,woods
5017,poisonous,convex,scaly,gray,no,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff,white,one,large,chocolate,several,paths
2319,edible,flat,fibrous,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,white,white,one,pendant,brown,several,woods
4765,poisonous,convex,fibrous,yellow,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff,white,one,large,chocolate,several,grasses
3295,poisonous,convex,smooth,white,no,creosote,free,crowded,narrow,brown,enlarging,bulbous,smooth,smooth,white,white,white,one,pendant,brown,scattered,woods
4949,poisonous,convex,scaly,gray,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff,white,one,large,chocolate,several,paths
1478,poisonous,flat,scaly,white,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
3718,poisonous,flat,scaly,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff,white,one,large,chocolate,several,woods
7199,poisonous,flat,smooth,red,no,foul,free,close,narrow,buff,tapering,none,silky,smooth,pink,pink,white,one,evanescent,white,several,woods
1388,edible,convex,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,white,one,pendant,black,several,woods
7492,poisonous,flat,scaly,brown,no,foul,free,close,narrow,buff,tapering,none,silky,silky,pink,white,white,one,evanescent,white,several,woods
6052,poisonous,flat,scaly,red,no,spicy,free,close,narrow,buff,tapering,none,silky,smooth,white,pink,white,one,evanescent,white,several,woods
770,edible,convex,smooth,white,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
3499,edible,flat,scaly,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray,white,one,pendant,brown,several,woods
7175,poisonous,flat,scaly,brown,no,spicy,free,close,narrow,buff,tapering,none,silky,silky,white,white,white,one,evanescent,white,several,leaves
4075,poisonous,convex,fibrous,yellow,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,pink,brown,white,one,large,chocolate,solitary,grasses
1998,edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
2040,edible,flat,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,pink,white,white,one,pendant,brown,solitary,woods
5976,edible,knobbed,smooth,red,yes,none,free,close,broad,red,enlarging,none,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste
4763,poisonous,convex,scaly,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,white,one,large,chocolate,several,woods
4328,poisonous,convex,fibrous,yellow,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,pink,white,one,large,chocolate,solitary,woods
1346,poisonous,flat,scaly,brown,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
155,edible,convex,scaly,brown,yes,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,scattered,grasses
2730,edible,convex,smooth,gray,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
7731,poisonous,convex,smooth,red,no,spicy,free,close,narrow,buff,tapering,none,silky,smooth,pink,pink,white,one,evanescent,white,several,leaves
6602,poisonous,convex,smooth,brown,no,spicy,free,close,narrow,buff,tapering,none,smooth,smooth,white,white,white,one,evanescent,white,several,paths
6853,poisonous,flat,smooth,red,no,foul,free,close,narrow,buff,tapering,none,silky,silky,pink,white,white,one,evanescent,white,several,woods
4850,poisonous,convex,scaly,yellow,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown,white,one,large,chocolate,several,woods
401,edible,bell,scaly,white,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
164,edible,convex,scaly,white,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
4778,poisonous,flat,fibrous,yellow,no,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,pink,white,one,large,chocolate,several,woods
2493,edible,convex,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,white,one,pendant,brown,several,woods
5749,poisonous,flat,smooth,gray,yes,foul,free,close,broad,pink,tapering,bulbous,smooth,fibrous,white,white,white,one,pendant,chocolate,several,urban
7338,poisonous,knobbed,scaly,brown,no,foul,free,close,narrow,buff,tapering,none,smooth,silky,pink,pink,white,one,evanescent,white,several,paths
908,poisonous,flat,scaly,brown,yes,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
2506,edible,convex,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,white,one,pendant,brown,solitary,woods
7802,poisonous,convex,smooth,brown,no,spicy,free,close,narrow,buff,tapering,none,smooth,silky,pink,white,white,one,evanescent,white,several,woods
7182,edible,flat,smooth,brown,no,none,attached,close,broad,brown,enlarging,none,smooth,smooth,orange,orange,brown,one,pendant,brown,clustered,leaves
2204,edible,convex,scaly,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,black,solitary,woods
6878,poisonous,convex,smooth,brown,no,foul,free,close,narrow,buff,tapering,none,silky,silky,white,pink,white,one,evanescent,white,several,woods
6221,poisonous,convex,smooth,brown,no,fishy,free,close,narrow,buff,tapering,none,silky,smooth,pink,pink,white,one,evanescent,white,several,paths
2093,edible,convex,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
4537,poisonous,convex,scaly,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,buff,white,one,large,chocolate,several,grasses
4708,poisonous,flat,smooth,pink,yes,none,free,close,broad,white,enlarging,bulbous,smooth,smooth,white,white,white,two,pendant,green,several,grasses
5025,poisonous,flat,scaly,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,pink,white,one,large,chocolate,solitary,woods
414,poisonous,convex,scaly,brown,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
3158,edible,flat,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,white,one,pendant,black,several,woods
5452,poisonous,flat,scaly,yellow,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink,white,one,large,chocolate,several,paths
3715,edible,flat,scaly,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,black,several,woods
5652,edible,knobbed,smooth,red,yes,none,free,close,broad,white,enlarging,none,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste
4405,poisonous,flat,fibrous,yellow,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,brown,white,one,large,chocolate,solitary,woods
5110,poisonous,convex,scaly,gray,no,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,pink,buff,white,one,large,chocolate,solitary,grasses
7417,poisonous,knobbed,smooth,brown,no,spicy,free,close,narrow,buff,tapering,none,silky,smooth,pink,pink,white,one,evanescent,white,several,leaves
2008,edible,flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,abundant,grasses
1045,edible,convex,smooth,white,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
3924,edible,flat,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,white,one,pendant,brown,several,woods
101,edible,bell,smooth,yellow,yes,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
3926,poisonous,convex,scaly,yellow,no,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,buff,white,one,large,chocolate,solitary,grasses
4624,poisonous,flat,fibrous,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff,white,one,large,chocolate,solitary,grasses
326,edible,convex,smooth,yellow,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
5136,poisonous,flat,smooth,white,yes,foul,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,chocolate,several,grasses
1659,edible,convex,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
629,edible,bell,smooth,white,yes,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
2543,edible,convex,fibrous,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,pink,white,one,pendant,brown,several,woods
7838,edible,bell,fibrous,gray,no,none,free,crowded,broad,gray,enlarging,none,silky,silky,white,white,white,two,pendant,white,numerous,grasses
2423,edible,flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,white,one,pendant,brown,solitary,woods
7271,edible,knobbed,fibrous,white,no,none,free,crowded,broad,pink,enlarging,none,smooth,smooth,white,white,white,two,pendant,white,scattered,grasses
4897,poisonous,flat,scaly,yellow,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,brown,white,one,large,chocolate,solitary,paths
4896,poisonous,flat,scaly,gray,no,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink,white,one,large,chocolate,solitary,grasses
13,poisonous,convex,scaly,white,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
1699,edible,convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,abundant,grasses
5169,edible,convex,scaly,brown,yes,none,free,close,broad,red,enlarging,none,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste
7768,poisonous,knobbed,scaly,red,no,spicy,free,close,narrow,buff,tapering,none,smooth,silky,white,pink,white,one,evanescent,white,several,paths
5854,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,none,smooth,silky,pink,white,white,one,evanescent,white,several,woods
221,poisonous,convex,smooth,white,yes,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
4695,poisonous,flat,fibrous,yellow,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink,white,one,large,chocolate,several,paths
1273,edible,flat,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,abundant,grasses
1618,edible,convex,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,scattered,grasses
2736,edible,convex,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,black,solitary,woods
7180,poisonous,knobbed,smooth,brown,no,spicy,free,close,narrow,buff,tapering,none,smooth,smooth,pink,white,white,one,evanescent,white,several,paths
5552,poisonous,convex,smooth,buff,yes,foul,free,close,broad,white,tapering,bulbous,fibrous,fibrous,white,white,white,one,pendant,chocolate,scattered,grasses
3714,edible,flat,scaly,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,black,solitary,woods
7355,poisonous,flat,scaly,brown,no,spicy,free,close,narrow,buff,tapering,none,smooth,silky,pink,white,white,one,evanescent,white,several,leaves
444,edible,convex,smooth,yellow,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
7580,poisonous,knobbed,smooth,red,no,fishy,free,close,narrow,buff,tapering,none,smooth,smooth,pink,pink,white,one,evanescent,white,several,woods
5926,poisonous,flat,fibrous,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown,white,one,large,chocolate,several,paths
3552,edible,convex,scaly,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,white,one,pendant,brown,solitary,woods
4187,edible,flat,fibrous,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,white,one,pendant,brown,several,woods
2203,edible,flat,fibrous,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,black,solitary,woods
904,edible,convex,smooth,yellow,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
7847,edible,convex,fibrous,gray,no,none,free,crowded,broad,white,enlarging,none,silky,silky,white,white,white,two,pendant,white,numerous,grasses
7103,edible,bell,smooth,white,no,none,free,crowded,broad,pink,enlarging,none,smooth,silky,white,white,white,two,pendant,white,scattered,grasses
4793,poisonous,flat,scaly,yellow,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,pink,white,one,large,chocolate,solitary,woods
1887,poisonous,flat,scaly,white,yes,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
561,edible,convex,smooth,yellow,yes,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
4812,edible,flat,scaly,brown,yes,none,free,close,broad,red,enlarging,none,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste
6464,poisonous,flat,scaly,brown,no,foul,free,close,narrow,buff,tapering,none,smooth,smooth,white,pink,white,one,evanescent,white,several,leaves
2038,edible,convex,smooth,gray,no,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,white,one,evanescent,black,abundant,grasses
3133,edible,flat,scaly,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,pink,white,one,pendant,brown,several,woods
7663,poisonous,knobbed,scaly,brown,no,spicy,free,close,narrow,buff,tapering,none,silky,silky,pink,pink,white,one,evanescent,white,several,woods
3884,edible,flat,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,white,white,one,pendant,brown,solitary,woods
5029,poisonous,flat,scaly,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,brown,white,one,large,chocolate,solitary,woods
6388,poisonous,flat,smooth,brown,no,fishy,free,close,narrow,buff,tapering,none,silky,silky,pink,pink,white,one,evanescent,white,several,leaves
7637,poisonous,knobbed,smooth,brown,no,foul,free,close,narrow,buff,tapering,none,smooth,silky,pink,pink,white,one,evanescent,white,several,woods
2279,edible,flat,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white,white,one,pendant,brown,several,woods
6403,edible,knobbed,fibrous,gray,no,none,free,crowded,broad,gray,enlarging,none,silky,silky,white,white,white,two,pendant,white,scattered,grasses
1824,edible,convex,scaly,white,yes,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
6969,poisonous,knobbed,scaly,red,no,foul,free,close,narrow,buff,tapering,none,silky,silky,pink,white,white,one,evanescent,white,several,woods
7267,poisonous,knobbed,scaly,red,no,fishy,free,close,narrow,buff,tapering,none,silky,silky,white,pink,white,one,evanescent,white,several,paths
8002,edible,convex,smooth,white,no,none,free,crowded,broad,white,enlarging,none,silky,smooth,white,white,white,two,pendant,white,scattered,grasses
147,edible,convex,scaly,yellow,yes,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
6329,poisonous,flat,scaly,red,no,foul,free,close,narrow,buff,tapering,none,smooth,silky,white,pink,white,one,evanescent,white,several,paths
2759,edible,flat,fibrous,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,solitary,woods
2259,edible,convex,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink,white,one,pendant,brown,several,woods
5403,poisonous,flat,smooth,white,yes,foul,free,close,broad,chocolate,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,chocolate,scattered,grasses
3282,poisonous,convex,smooth,pink,no,creosote,free,crowded,narrow,pink,enlarging,bulbous,smooth,smooth,white,white,white,one,pendant,black,several,woods
2622,edible,convex,fibrous,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,gray,white,one,pendant,brown,solitary,woods
3375,edible,flat,fibrous,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,white,gray,white,one,pendant,black,several,woods
5004,poisonous,flat,scaly,gray,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff,white,one,large,chocolate,solitary,woods
3631,edible,convex,fibrous,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,black,solitary,woods
3430,edible,flat,scaly,gray,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,white,one,pendant,brown,several,woods
3412,edible,flat,fibrous,gray,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,white,one,pendant,black,several,woods
44,edible,convex,smooth,yellow,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
3678,edible,flat,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,pink,white,one,pendant,black,solitary,woods
1895,edible,convex,scaly,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,brown,several,woods
970,edible,flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,brown,scattered,grasses
